Data Source in SDW: null
,MIR.M.AT.B.A2C.I.R.A.2250.EUR.N,MIR.M.BE.B.A2C.I.R.A.2250.EUR.N,MIR.M.CY.B.A2C.I.R.A.2250.EUR.N,MIR.M.DE.B.A2C.I.R.A.2250.EUR.N,MIR.M.EE.B.A2C.I.R.A.2250.EUR.N,MIR.M.ES.B.A2C.I.R.A.2250.EUR.N,MIR.M.FI.B.A2C.I.R.A.2250.EUR.N,MIR.M.FR.B.A2C.I.R.A.2250.EUR.N,MIR.M.GR.B.A2C.I.R.A.2250.EUR.N,MIR.M.IE.B.A2C.I.R.A.2250.EUR.N,MIR.M.IT.B.A2C.I.R.A.2250.EUR.N,MIR.M.LT.B.A2C.I.R.A.2250.EUR.N,MIR.M.LU.B.A2C.I.R.A.2250.EUR.N,MIR.M.LV.B.A2C.I.R.A.2250.EUR.N,MIR.M.MT.B.A2C.I.R.A.2250.EUR.N,MIR.M.NL.B.A2C.I.R.A.2250.EUR.N,MIR.M.PT.B.A2C.I.R.A.2250.EUR.N,MIR.M.SI.B.A2C.I.R.A.2250.EUR.N,MIR.M.SK.B.A2C.I.R.A.2250.EUR.N,MIR.M.U2.B.A2C.I.R.A.2250.EUR.N
2019Jun,1.51,1.87,,1.44,3.88,1.87,1.23,1.31,,2.87,1.77,5.21,1.21,8.08,2.45,2.11,1.26,2.82,1.48,1.74
2019May,1.55,1.88,,1.50,4.60,2.09,1.71,1.35,,2.85,1.69,4.56,1.29,9.00,2.45,2.11,1.26,2.81,1.49,1.80
2019Apr,1.61,1.88,,1.48,4.40,2.03,1.64,1.38,,2.84,1.71,5.05,1.34,9.51,2.44,2.10,1.37,3.05,1.48,1.78
2019Mar,1.71,1.94,,1.64,4.22,1.85,1.63,1.36,,2.86,1.81,5.97,1.35,10.06,2.44,2.12,1.40,2.87,1.48,1.82
2019Feb,1.63,1.97,,1.65,3.88,1.86,1.54,1.41,,2.87,1.75,4.40,1.34,11.06,2.55,2.15,1.65,3.03,1.47,1.85
2019Jan,1.57,1.88,,1.69,3.27,1.84,1.75,1.42,4.44,2.87,1.79,4.38,1.38,9.52,2.59,2.10,1.47,3.23,1.47,1.82
2018Dec,1.62,1.80,,1.71,3.57,1.72,1.83,1.38,4.42,2.90,1.79,4.10,1.32,10.75,2.55,2.10,1.34,3.22,1.45,1.82
2018Nov,1.65,1.70,,1.74,3.88,1.78,1.78,1.42,4.02,2.88,1.73,2.99,1.43,10.75,2.55,2.12,1.25,3.00,1.46,1.85
2018Oct,1.66,1.58,,1.68,3.76,1.78,1.86,1.41,,2.88,1.82,3.83,1.50,9.11,2.60,2.10,1.25,2.81,1.47,1.80
2018Sep,1.66,1.54,,1.71,4.18,1.72,1.70,1.44,,2.92,1.69,3.77,1.47,8.61,2.56,2.10,1.29,3.03,1.49,1.81
2018Aug,1.63,1.55,,1.70,3.90,1.82,1.73,1.42,-,2.94,1.83,4.61,1.49,10.66,2.59,2.08,1.26,2.95,1.53,1.82
2018Jul,1.65,1.72,,1.74,3.63,1.66,1.75,1.43,,2.99,1.53,4.58,1.49,10.96,2.56,2.11,1.24,2.79,1.52,1.83
2018Jun,1.66,1.82,,1.76,4.35,1.63,1.87,1.43,-,3.01,1.68,4.46,1.46,9.16,2.54,2.15,1.36,2.75,1.51,1.81
2018May,1.59,1.95,,1.74,3.94,1.67,1.79,1.46,,3.03,1.62,3.26,1.53,8.78,2.52,2.15,1.58,2.92,1.57,1.85
2018Apr,1.59,1.94,,1.72,3.32,1.71,1.54,1.44,,3.02,1.81,3.17,1.62,8.47,2.52,2.16,1.37,2.95,1.64,1.85
2018Mar,1.61,1.95,,1.73,3.36,1.69,1.95,1.46,,3.05,1.65,3.27,1.59,7.08,2.54,2.16,1.35,2.94,1.65,1.85
2018Feb,1.54,1.92,,1.73,3.69,1.67,1.85,1.47,,3.11,1.82,3.15,1.69,7.66,2.53,2.14,1.42,3.23,1.64,1.88
2018Jan,1.57,1.89,,1.69,3.65,1.71,1.89,1.44,,3.15,2.04,2.72,1.49,6.88,2.53,2.16,1.48,2.81,1.61,1.87
2017Dec,1.65,1.87,,1.69,3.37,1.58,1.52,1.46,,3.08,1.85,3.00,1.41,6.10,2.54,2.20,1.56,2.75,1.77,1.86
2017Nov,1.62,1.87,,1.72,3.47,1.70,1.72,1.49,-,3.16,1.87,3.19,1.47,5.99,2.55,2.22,1.54,3.31,1.70,1.92
2017Oct,1.59,1.89,,1.70,3.92,1.73,1.65,1.52,-,3.19,2.03,2.78,1.60,5.39,2.53,2.21,1.55,2.88,1.74,1.91
2017Sep,1.54,1.96,,1.71,3.82,1.72,1.67,1.51,-,3.20,1.94,2.43,1.66,5.76,-,2.20,1.58,3.49,1.82,1.93
2017Aug,1.62,2.03,,1.89,4.07,1.85,1.74,1.57,-,3.19,1.91,2.76,1.61,5.79,2.52,2.23,1.62,3.48,1.86,2.01
2017Jul,1.70,2.03,,1.68,4.28,1.66,1.94,1.52,-,3.23,1.92,2.66,1.58,5.66,2.53,2.27,1.62,2.74,1.88,1.92
2017Jun,1.75,2.09,,1.70,3.91,1.70,1.68,1.51,-,,2.04,2.60,1.64,5.57,2.56,2.22,1.70,3.37,1.79,1.91
2017May,1.71,2.12,,1.77,4.15,1.72,1.79,1.49,-,,2.03,2.66,1.73,5.80,2.53,2.20,1.69,3.09,1.83,1.92
2017Apr,1.71,2.08,,1.73,3.17,1.71,1.68,1.49,-,,2.02,2.72,1.62,6.42,2.57,2.18,1.75,3.22,1.89,1.91
2017Mar,1.55,2.12,,1.69,3.83,1.75,1.68,1.47,-,,1.99,2.62,1.54,5.68,2.52,2.19,1.79,3.39,1.88,1.88
2017Feb,1.67,2.01,,1.65,3.66,1.82,1.79,1.51,-,,2.02,2.51,1.54,6.56,2.54,2.16,1.83,3.56,1.90,1.89
2017Jan,1.55,2.05,,1.66,2.70,1.97,1.86,1.49,2.73,,1.95,2.44,1.51,6.11,2.53,2.14,1.87,3.64,1.88,1.88
2016Dec,1.52,2.08,,1.67,2.85,1.87,1.68,1.51,5.30,,1.85,2.38,1.44,5.37,2.54,2.13,1.85,3.58,1.88,1.90
2016Nov,1.52,2.00,,1.66,3.18,1.99,1.78,1.51,4.92,,1.82,2.45,1.33,5.25,2.62,2.17,1.93,3.58,1.78,1.91
2016Oct,1.57,2.03,,1.62,3.20,2.00,1.97,1.53,5.75,,1.70,2.59,1.44,5.57,2.57,2.06,1.97,3.36,1.78,1.90
2016Sep,1.60,2.08,,1.75,3.36,2.05,2.13,1.77,-,,1.66,2.50,1.43,6.88,2.52,2.14,1.99,3.46,1.81,1.98
2016Aug,1.72,1.95,,1.76,3.78,2.02,1.85,1.65,-,,1.97,2.46,1.42,6.94,2.53,2.14,2.04,3.08,1.84,1.95
2016Jul,1.74,2.02,,1.79,4.00,1.90,1.87,1.66,-,,1.65,2.65,1.39,7.14,2.51,2.20,2.04,3.23,1.81,1.96
2016Jun,1.69,2.01,,1.85,3.63,1.96,1.82,1.75,-,,1.74,2.53,1.44,8.17,2.69,2.34,1.98,3.25,1.79,2.00
2016May,1.75,2.02,,1.83,3.13,2.05,2.07,1.90,-,,1.78,2.21,1.43,7.27,2.64,2.40,2.11,2.92,1.68,2.02
2016Apr,1.86,2.08,,1.82,3.61,2.03,1.95,2.01,-,,1.99,2.40,1.48,7.83,2.61,2.44,2.17,3.18,1.80,2.08
2016Mar,1.83,2.05,,1.82,3.06,2.00,2.01,2.08,-,,2.03,2.29,1.44,7.08,2.57,2.48,2.19,3.38,1.94,2.10
2016Feb,1.85,2.11,,1.86,2.97,2.10,1.97,2.23,-,,2.23,2.27,1.42,10.87,2.43,2.56,2.17,3.38,2.26,2.20
2016Jan,1.75,2.18,,1.87,2.93,2.09,2.10,2.23,-,,2.37,2.51,1.57,12.97,2.36,2.62,2.19,3.61,2.36,2.23
2015Dec,1.84,2.20,3.76,1.88,3.28,2.08,2.07,2.29,-,,2.22,2.79,1.47,8.68,2.46,2.62,2.23,3.87,2.35,2.27
2015Nov,1.80,2.28,,1.94,2.96,2.19,1.99,2.24,-,,2.45,2.69,1.51,9.20,2.55,2.65,2.17,3.46,2.41,2.31
2015Oct,1.80,2.37,,1.99,3.37,2.24,2.03,2.20,-,,2.54,2.61,1.59,6.91,2.47,2.65,2.34,3.67,2.40,2.33
2015Sep,1.82,2.38,3.99,1.98,3.45,2.22,2.06,2.14,2.96,,2.65,3.04,1.57,11.14,2.51,2.72,2.54,3.93,2.38,2.36
2015Aug,1.78,2.42,3.88,1.95,4.02,2.19,2.00,2.19,-,,2.66,2.63,1.71,8.29,2.30,2.69,2.26,3.14,2.42,2.36
2015Jul,1.80,2.40,3.94,1.91,3.71,2.29,2.47,2.15,-,,2.58,2.65,1.76,8.31,2.40,2.69,2.36,3.57,2.43,2.33
2015Jun,1.80,2.35,3.98,1.81,3.93,2.35,2.51,2.18,3.74,,2.73,2.65,1.77,10.24,2.44,2.71,2.04,3.71,2.41,2.28
2015May,1.82,2.35,,1.84,4.55,2.43,2.54,2.29,3.94,,2.60,2.68,1.51,7.32,2.39,2.77,2.29,3.88,2.49,2.37
2015Apr,1.99,2.41,,1.83,3.72,2.54,2.64,2.31,4.54,,2.66,2.55,1.45,7.39,2.29,2.80,2.02,4.11,2.59,2.42
2015Mar,2.03,2.39,,1.88,3.64,2.60,2.66,2.39,4.71,,2.78,2.73,1.62,7.16,2.43,2.79,2.64,5.05,2.62,2.46
2015Feb,2.14,2.47,,1.87,3.12,2.67,2.74,2.57,-,,2.83,2.71,1.38,8.50,2.61,2.99,2.79,3.92,2.65,2.51
2015Jan,2.15,2.44,,1.95,3.47,2.76,1.76,2.57,4.71,,2.92,2.77,1.42,18.05,3.11,2.95,2.81,5.93,2.74,2.57
2014Dec,1.97,2.21,,1.96,3.11,2.69,1.83,2.47,4.64,,2.94,2.83,1.71,9.34,2.88,2.90,2.80,5.87,2.70,2.51
2014Nov,1.95,2.32,,1.83,2.78,2.83,1.84,2.61,-,,3.03,2.81,1.65,13.03,2.11,2.97,2.78,4.77,2.79,2.50
2014Oct,2.10,2.32,,2.03,3.17,3.00,1.88,2.72,-,,3.05,2.87,1.78,9.26,2.86,3.06,2.81,4.69,3.01,2.63
2014Sep,2.10,2.52,,2.04,4.33,3.10,1.73,2.80,-,,3.13,2.90,2.00,9.01,2.85,3.07,2.81,5.79,3.12,2.69
2014Aug,2.24,2.70,,2.13,7.17,3.05,1.99,2.78,-,,3.16,3.11,2.09,10.50,2.67,3.10,2.79,6.20,3.17,2.74
2014Jul,2.24,2.81,,2.18,7.22,3.11,2.13,2.82,-,,3.28,2.95,1.89,8.63,2.64,3.08,2.80,5.88,3.21,2.75
2014Jun,2.18,2.90,,2.27,7.19,3.16,2.12,2.90,-,,3.35,2.94,1.93,12.98,2.56,3.11,2.82,6.02,3.27,2.85
2014May,2.21,3.02,,2.30,7.72,3.12,2.26,2.99,-,,3.39,3.18,1.66,11.70,2.66,3.19,2.78,5.41,3.38,2.87
2014Apr,2.16,3.07,,2.36,7.49,3.20,2.24,2.97,-,,3.43,3.25,1.93,10.19,2.64,3.31,2.89,6.00,3.45,2.90
2014Mar,2.12,3.10,4.16,2.35,7.19,3.18,2.33,2.98,-,,3.49,3.20,2.11,13.42,2.67,3.29,2.90,5.75,3.54,2.91
2014Feb,2.18,3.17,4.41,2.41,7.80,3.28,2.37,2.99,-,,3.51,3.15,1.93,10.41,2.87,3.30,2.80,5.23,3.74,2.96
2014Jan,2.29,3.19,,2.51,8.21,3.40,2.55,2.91,-,,3.57,3.45,2.23,12.13,2.78,3.42,2.83,6.23,3.79,3.00
2013Dec,2.27,3.11,,2.44,10.74,3.13,2.44,2.92,-,,3.44,3.25,2.28,4.77,-,3.43,2.81,7.02,3.82,3.00
2013Nov,2.22,3.14,,2.50,8.01,3.25,2.61,2.97,-,,3.65,3.25,2.24,5.83,-,3.42,2.78,6.47,3.87,3.07
2013Oct,2.14,3.08,,2.53,8.75,3.21,2.63,2.97,-,,3.80,3.37,2.47,6.76,-,3.45,2.84,5.71,3.91,3.05
2013Sep,2.21,3.04,3.87,2.45,6.88,3.15,2.84,2.94,-,,3.89,4.03,2.35,5.54,-,3.51,2.79,5.55,3.92,3.06
2013Aug,2.25,2.99,4.85,2.46,6.78,3.16,2.82,2.92,-,,3.99,3.38,2.22,5.71,-,3.50,2.81,5.20,3.98,3.03
2013Jul,2.17,3.00,,2.36,7.63,3.07,2.63,2.95,-,,3.84,3.41,2.11,4.94,-,3.54,2.81,5.28,3.94,2.97
2013Jun,2.20,2.94,4.07,2.29,4.94,2.97,2.60,2.96,-,,3.67,3.35,1.96,4.12,-,3.58,2.86,4.73,3.95,3.00
2013May,2.27,3.02,4.06,2.39,6.89,3.08,2.50,3.05,-,,3.90,3.37,1.87,5.09,-,3.64,2.89,5.35,3.99,3.11
2013Apr,2.06,3.09,,2.47,6.50,3.13,2.48,3.09,-,,4.02,3.38,2.06,4.28,-,3.74,2.81,5.57,4.13,3.13
2013Mar,2.23,3.16,4.16,2.50,7.37,3.18,2.68,3.22,-,,4.05,3.62,2.01,4.63,-,3.78,2.94,5.60,4.26,3.19
2013Feb,2.50,3.16,4.30,2.45,5.73,3.18,2.74,3.28,-,,4.22,3.87,2.09,4.30,-,3.85,2.98,5.43,4.40,3.18
2013Jan,2.71,3.06,4.31,2.49,7.19,3.09,2.66,3.29,-,,3.98,3.39,-,3.64,-,3.89,2.86,4.61,4.53,3.17
2012Dec,2.65,3.10,4.21,2.51,6.90,3.05,2.48,3.39,-,,4.03,3.36,1.90,4.77,-,3.80,2.82,6.05,4.28,3.24
2012Nov,2.45,3.05,4.22,2.43,4.78,3.14,2.14,3.46,-,,4.29,3.59,2.10,5.15,-,3.84,2.86,6.08,4.26,3.16
2012Oct,2.46,3.12,4.39,2.59,5.68,3.28,2.48,3.45,-,,4.35,3.86,2.00,5.11,-,3.87,2.89,5.98,4.34,3.24
2012Sep,2.69,3.15,4.22,2.58,5.50,3.32,2.39,3.53,-,,4.18,3.79,2.35,4.68,-,3.93,2.85,5.98,4.48,3.27
2012Aug,2.68,3.26,4.55,2.64,3.59,3.50,2.32,3.58,1.95,,4.17,3.62,2.40,4.66,-,3.96,2.87,5.06,4.83,3.32
2012Jul,2.71,3.40,4.66,2.78,3.72,3.48,2.37,3.60,1.86,,4.31,3.73,2.72,4.63,-,3.96,2.88,5.77,4.66,3.40
2012Jun,2.72,3.45,5.39,2.78,3.27,3.44,2.49,3.73,1.97,,4.32,3.82,2.81,5.83,-,4.05,3.15,5.93,4.59,3.48
2012May,2.67,3.59,5.34,2.89,3.65,3.71,2.49,3.77,1.93,,4.55,4.00,2.90,4.78,-,4.12,3.22,5.03,4.62,3.55
2012Apr,2.60,3.71,5.32,2.96,4.10,3.86,2.65,3.82,2.14,,4.73,4.35,3.11,5.51,-,4.24,3.22,5.32,4.65,3.59
2012Mar,2.48,3.82,5.21,2.93,4.27,4.06,2.73,3.75,2.25,,4.78,4.19,3.67,5.53,-,4.25,5.10,5.28,4.77,3.59
2012Feb,2.54,3.83,5.12,3.03,3.72,4.16,2.74,3.67,2.80,,4.72,4.57,3.15,5.54,-,4.32,5.92,5.55,4.97,3.65
2012Jan,2.76,3.81,4.88,3.18,3.56,4.16,2.71,3.57,2.84,,4.59,4.34,4.04,5.47,-,4.42,6.19,5.30,5.12,3.71
2011Dec,2.57,3.76,5.01,3.24,3.97,3.97,2.84,3.52,3.29,,4.25,4.69,3.83,5.35,-,4.40,5.58,5.31,4.85,3.74
2011Nov,2.48,3.75,4.82,3.29,,4.01,2.89,3.59,3.39,,4.03,4.61,3.43,6.35,-,4.37,5.51,5.16,4.86,3.74
2011Oct,2.67,3.83,4.65,3.36,4.11,4.12,2.89,3.58,3.80,,3.87,4.43,3.49,5.28,-,4.38,4.32,5.24,4.93,3.79
2011Sep,2.68,3.97,4.64,3.49,4.34,4.11,2.76,3.53,4.26,,3.58,4.63,3.58,5.59,-,4.44,5.25,5.31,4.81,3.86
2011Aug,2.45,4.02,4.55,3.70,,3.97,2.90,3.66,4.25,,3.89,4.62,3.40,6.15,-,4.56,4.67,5.40,4.65,3.97
2011Jul,2.50,4.04,4.54,3.82,5.99,3.91,3.39,3.54,4.33,,3.96,4.74,3.68,5.48,-,4.58,4.22,5.19,4.71,4.02
2011Jun,2.62,4.05,4.49,3.82,4.67,3.81,3.46,3.48,4.12,,3.95,4.95,-,6.05,-,4.59,4.44,5.45,4.62,4.04
2011May,2.59,4.02,4.45,3.86,5.52,3.74,3.67,3.42,4.05,,3.99,4.88,-,6.46,-,4.56,5.42,5.25,4.78,4.02
2011Apr,2.58,3.91,4.29,3.74,4.83,3.45,3.83,3.34,3.80,,3.84,5.08,4.30,6.48,-,4.52,,5.32,4.84,3.96
2011Mar,2.15,3.86,4.34,3.69,5.03,3.33,3.68,3.30,3.86,,3.81,5.23,4.02,5.59,-,4.36,,5.23,4.88,3.82
2011Feb,2.30,3.79,4.18,3.55,5.79,3.28,3.60,3.23,3.57,,3.67,5.08,-,6.41,-,4.25,,3.62,4.89,3.82
2011Jan,2.66,3.64,4.18,3.40,,3.22,3.42,3.18,3.64,,3.58,4.77,4.04,6.66,-,4.25,,3.58,4.55,3.69
2010Dec,2.38,3.55,4.08,3.32,,2.94,3.26,3.15,3.95,,3.48,4.94,-,6.39,-,4.19,,5.46,4.68,3.52
2010Nov,2.41,3.41,3.86,3.26,5.04,2.99,3.05,3.20,3.95,,3.32,4.79,3.51,6.69,-,4.22,,4.27,4.64,3.53
2010Oct,2.42,3.46,3.68,3.30,4.68,2.91,2.93,3.23,3.99,,3.12,4.83,3.48,6.48,-,4.26,,3.96,4.93,3.54
2010Sep,2.46,3.49,3.79,3.25,4.61,2.87,2.82,3.24,3.96,,3.14,5.05,3.36,6.61,-,4.32,,4.13,5.38,3.56
2010Aug,2.59,3.43,3.68,3.30,5.12,2.87,2.73,3.29,4.33,,3.16,4.94,3.82,6.54,-,4.40,,4.29,5.37,3.62
2010Jul,2.69,3.47,3.57,3.35,5.24,2.73,2.92,3.40,4.52,,2.92,5.51,-,6.79,-,4.45,,3.98,5.29,3.60
2010Jun,2.71,3.58,3.43,3.37,4.52,2.57,2.93,3.40,4.65,,2.82,5.14,3.53,6.45,-,4.50,,4.20,5.31,3.60
