,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,0,0,Berry
36,31,male,2,free,little,NA,6110,48,education,1,0,Berry
37,37,male,2,own,little,rich,2100,18,radio/TV,0,1,Berry
38,37,male,2,own,little,rich,1225,10,domestic appliances,0,1,Berry
39,24,male,2,own,little,moderate,458,9,radio/TV,0,1,Berry
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,0,1,Berry
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,0,1,Berry
42,44,male,1,own,little,moderate,6204,18,repairs,0,1,Berry
43,24,male,2,rent,moderate,little,6187,30,car,0,0,Berry
44,58,female,1,free,little,little,6143,48,car,0,0,Berry
45,35,female,3,own,little,NA,1393,11,car,0,1,Berry
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,0,1,Berry
47,23,female,0,rent,quite rich,little,1352,6,car,0,0,Berry
48,39,male,1,own,little,NA,7228,11,car,0,1,Berry
49,28,female,2,own,moderate,NA,2073,12,radio/TV,0,1,Berry
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,0,1,Berry
51,30,male,3,own,little,moderate,5965,27,car,0,1,Berry
52,25,male,2,own,little,NA,1262,12,radio/TV,0,1,Berry
53,31,male,2,own,NA,NA,3378,18,car,0,1,Berry
54,57,male,2,free,little,moderate,2225,36,car,0,0,Berry
55,26,male,1,own,NA,NA,783,6,car,0,1,Berry
56,52,male,3,own,NA,moderate,6468,12,radio/TV,0,1,Berry
57,31,female,2,own,little,NA,9566,36,radio/TV,0,1,Berry
58,23,female,3,own,little,rich,1961,18,car,0,1,Berry
59,23,female,1,rent,little,little,6229,36,furniture/equipment,0,0,Berry
60,27,male,2,own,little,moderate,1391,9,business,0,1,Berry
61,50,male,2,own,NA,moderate,1537,15,radio/TV,0,1,Berry
62,61,male,3,free,little,moderate,1953,36,business,0,0,Berry
63,25,male,2,own,little,moderate,14421,48,business,0,1,Berry
64,26,female,2,own,little,NA,3181,24,radio/TV,0,1,Berry
65,48,male,2,own,NA,NA,5190,27,repairs,0,1,Berry
66,29,female,2,own,little,NA,2171,12,radio/TV,0,1,Berry
67,22,male,2,own,rich,moderate,1007,12,car,0,1,Berry
68,37,male,2,free,little,NA,1819,36,education,1,0,Berry
69,25,female,2,own,NA,NA,2394,36,radio/TV,0,1,Berry
70,30,female,2,own,little,NA,8133,36,car,0,1,Berry
71,46,male,1,rent,NA,NA,730,7,radio/TV,0,0,Berry
72,51,male,3,free,little,little,1164,8,vacation/others,0,0,Berry
73,41,female,1,own,little,moderate,5954,42,business,0,1,Berry
74,40,male,3,own,NA,little,1977,36,education,1,1,Berry
75,66,male,3,free,little,little,1526,12,car,0,0,Berry
76,34,male,2,own,little,little,3965,42,radio/TV,0,1,Berry
77,51,male,2,own,little,moderate,4771,11,radio/TV,0,1,Berry
78,39,male,1,own,NA,NA,9436,54,car,0,1,Berry
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,0,1,Berry
80,44,female,2,own,NA,NA,5943,24,radio/TV,0,1,Berry
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,0,1,Berry
82,24,female,1,rent,moderate,NA,1568,18,business,0,0,Berry
83,58,female,1,own,little,little,1755,24,vacation/others,0,1,Berry
84,52,male,1,own,little,little,2315,10,radio/TV,0,1,Berry
85,29,female,3,own,little,NA,1412,12,business,0,1,Berry
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,0,1,Berry
87,47,male,2,free,moderate,moderate,12612,36,education,1,0,Berry
88,30,male,3,own,moderate,little,2249,18,car,0,1,Berry
89,28,male,2,own,little,little,1108,12,repairs,0,1,Berry
90,56,male,2,own,little,NA,618,12,radio/TV,0,1,Berry
91,54,male,2,own,little,little,1409,12,car,0,1,Berry
92,33,female,1,own,NA,NA,797,12,radio/TV,0,1,Berry
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,0,0,Berry
94,54,male,2,own,rich,moderate,1318,12,car,0,1,Berry
95,58,male,2,rent,little,moderate,15945,54,business,0,0,Berry
96,61,female,2,own,NA,NA,2012,12,education,1,1,Berry
97,34,male,2,own,moderate,moderate,2622,18,business,0,1,Berry
98,36,male,2,own,little,moderate,2337,36,radio/TV,0,1,Berry
99,36,male,3,rent,NA,moderate,7057,20,car,0,0,Berry
100,41,male,1,rent,moderate,NA,1469,24,car,0,0,Berry
101,24,male,2,rent,little,moderate,2323,36,radio/TV,0,0,Berry
102,24,female,2,own,little,NA,932,6,radio/TV,0,1,Berry
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,0,0,Berry
104,26,male,2,rent,NA,NA,2445,12,car,0,0,Berry
105,39,male,3,own,little,moderate,11938,24,vacation/others,0,1,Berry
106,39,male,3,own,little,NA,6458,18,car,0,1,Berry
107,32,male,2,own,little,moderate,6078,12,car,0,1,Berry
108,30,female,2,own,NA,little,7721,24,furniture/equipment,0,1,Berry
109,35,male,2,own,quite rich,moderate,1410,14,business,0,1,Berry
110,31,male,2,own,moderate,moderate,1449,6,business,0,1,Berry
111,23,female,2,rent,little,rich,392,15,education,1,0,Berry
112,28,male,1,rent,little,moderate,6260,18,car,0,0,Berry
113,25,female,2,own,little,NA,7855,36,car,0,1,Berry
114,35,male,2,own,quite rich,little,1680,12,radio/TV,0,1,Berry
115,47,male,2,own,NA,NA,3578,48,radio/TV,0,1,Berry
116,30,female,3,own,NA,little,7174,42,radio/TV,0,1,Berry
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,0,0,Berry
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,0,1,Berry
119,36,male,3,own,quite rich,moderate,2366,12,car,0,1,Berry
120,25,female,2,own,little,little,1835,21,radio/TV,0,1,Berry
121,41,female,3,rent,little,NA,3868,24,car,0,0,Berry
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,0,0,Berry
123,63,male,2,free,little,rich,781,10,car,0,0,Berry
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,0,0,Berry
125,30,male,2,own,little,little,2121,12,car,0,1,Berry
126,40,male,1,own,little,little,701,12,radio/TV,0,1,Berry
127,30,male,2,own,little,moderate,639,12,repairs,0,1,Berry
128,34,male,3,own,little,moderate,1860,12,car,0,1,Berry
129,29,female,2,own,little,little,3499,12,car,0,1,Berry
130,24,female,2,own,NA,moderate,8487,48,car,0,1,Berry
131,29,male,2,own,little,little,6887,36,education,1,1,Berry
132,27,male,1,own,little,NA,2708,15,furniture/equipment,0,1,Berry
133,47,male,2,free,little,NA,1984,18,furniture/equipment,0,0,Berry
134,21,female,2,own,moderate,NA,10144,60,radio/TV,0,1,Berry
135,38,female,2,own,NA,NA,1240,12,radio/TV,0,1,Berry
136,27,male,2,own,rich,NA,8613,27,car,0,1,Berry
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,0,1,Berry
138,35,male,2,own,NA,moderate,2728,15,radio/TV,0,1,Berry
139,44,female,1,rent,little,rich,1881,12,radio/TV,0,0,Berry
140,27,male,0,own,rich,rich,709,6,car,0,1,Berry
141,30,female,3,own,little,moderate,4795,36,radio/TV,0,1,Berry
142,27,male,3,own,little,little,3416,27,radio/TV,0,1,Berry
143,22,male,2,own,little,little,2462,18,furniture/equipment,0,1,Berry
144,23,female,2,own,little,NA,2288,21,furniture/equipment,0,1,Berry
145,30,male,2,own,moderate,moderate,3566,48,business,0,1,Berry
146,39,female,2,own,little,little,860,6,car,0,1,Berry
147,51,female,2,own,moderate,NA,682,12,car,0,1,Berry
148,28,male,2,own,little,little,5371,36,furniture/equipment,0,1,Berry
149,46,male,2,own,rich,NA,1582,18,radio/TV,0,1,Berry
150,42,male,2,free,moderate,NA,1346,6,radio/TV,0,0,Berry
151,38,male,2,own,little,NA,1924,10,radio/TV,0,1,Berry
152,24,male,2,own,little,rich,5848,36,radio/TV,0,1,Berry
153,29,female,2,rent,rich,moderate,7758,24,car,0,0,Berry
154,36,male,3,rent,moderate,moderate,6967,24,business,0,0,Berry
155,20,female,2,rent,little,little,1282,12,furniture/equipment,0,0,Berry
156,48,male,2,own,moderate,little,1288,9,repairs,0,1,Berry
157,45,male,1,own,little,little,339,12,education,1,1,Berry
158,38,male,2,own,moderate,moderate,3512,24,car,0,1,Berry
159,34,male,1,own,NA,NA,1898,6,radio/TV,0,1,Berry
160,36,male,2,own,moderate,NA,2872,24,radio/TV,0,1,Berry
161,30,female,2,own,little,NA,1055,18,car,0,1,Berry
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,0,1,Berry
163,70,male,3,free,little,moderate,7308,10,car,0,0,Berry
164,36,male,2,own,quite rich,NA,909,36,car,0,1,Berry
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,0,1,Berry
166,33,female,2,own,little,little,1131,18,furniture/equipment,0,1,Berry
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,0,1,Berry
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,0,0,Berry
169,31,male,2,own,little,moderate,1935,24,business,0,1,Berry
170,33,male,2,rent,little,little,950,15,car,0,0,Berry
171,26,female,2,own,little,NA,763,12,furniture/equipment,0,1,Berry
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,0,1,Berry
173,33,male,2,own,little,moderate,1414,8,radio/TV,0,1,Berry
174,26,male,2,own,little,little,3414,21,education,1,1,Berry
175,53,female,3,own,NA,NA,7485,30,car,0,1,Berry
176,42,male,2,own,little,little,2577,12,furniture/equipment,0,1,Berry
177,52,male,2,own,quite rich,little,338,6,radio/TV,0,1,Berry
178,31,male,3,rent,little,NA,1963,12,radio/TV,0,0,Berry
179,65,male,2,own,little,little,571,21,car,0,1,Berry
180,28,male,2,own,little,NA,9572,36,business,0,1,Berry
181,30,male,3,own,little,moderate,4455,36,business,0,1,Berry
182,40,male,1,own,NA,little,1647,21,car,0,1,Berry
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,0,1,Berry
184,36,male,2,own,little,moderate,884,18,car,0,1,Berry
185,31,male,2,own,little,NA,1360,15,radio/TV,0,1,Berry
186,74,female,3,free,little,moderate,5129,9,car,0,0,Berry
187,68,male,0,free,little,moderate,1175,16,car,0,0,Berry
188,20,male,2,own,moderate,little,674,12,radio/TV,0,1,Berry
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,0,1,Berry
190,54,male,3,own,rich,NA,4591,24,business,0,1,Berry
191,34,male,1,free,moderate,moderate,3844,48,business,0,0,Berry
192,36,male,2,own,little,moderate,3915,27,business,0,1,Berry
193,29,male,2,rent,little,NA,2108,6,radio/TV,0,0,Berry
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,0,0,Berry
195,34,female,3,own,little,moderate,1501,9,education,1,1,Berry
196,28,female,2,own,little,NA,1382,6,radio/TV,0,1,Berry
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,0,0,Berry
198,36,male,2,free,NA,moderate,2760,24,car,0,0,Berry
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,0,1,Berry
200,52,male,2,own,quite rich,NA,936,9,education,1,1,Berry
201,27,male,1,own,little,little,1168,12,car,0,1,Berry
202,26,male,2,own,little,NA,5117,27,business,0,1,Berry
203,21,male,2,rent,little,little,902,12,education,1,0,Berry
204,38,male,1,own,little,NA,1495,12,car,0,1,Berry
205,38,male,3,free,little,little,10623,30,car,0,0,Berry
206,43,male,2,own,little,NA,1935,12,furniture/equipment,0,1,Berry
207,26,male,2,own,little,moderate,1424,12,domestic appliances,0,1,Berry
208,21,male,1,own,little,little,6568,24,business,0,1,Berry
209,55,male,2,own,rich,NA,1413,12,car,0,1,Berry
210,33,male,2,own,NA,NA,3074,9,radio/TV,0,1,Berry
211,45,female,1,own,NA,NA,3835,36,radio/TV,0,1,Berry
212,50,male,2,own,little,little,5293,27,business,0,1,Berry
213,66,male,3,own,little,rich,1908,30,business,0,1,Berry
214,51,male,2,own,NA,NA,3342,36,radio/TV,0,1,Berry
215,39,female,1,own,NA,moderate,932,6,education,1,1,Berry
216,31,male,2,own,little,little,3104,18,business,0,1,Berry
217,23,male,2,own,little,rich,3913,36,radio/TV,0,1,Berry
218,24,male,1,rent,little,little,3021,24,furniture/equipment,0,0,Berry
219,64,female,2,own,little,NA,1364,10,car,0,1,Berry
220,26,male,1,own,little,moderate,625,12,radio/TV,0,1,Berry
221,23,female,2,rent,NA,little,1200,12,education,1,0,Berry
222,30,male,2,own,little,NA,707,12,radio/TV,0,1,Berry
223,32,male,2,own,NA,NA,2978,24,business,0,1,Berry
224,30,male,2,own,little,NA,4657,15,car,0,1,Berry
225,27,male,2,own,little,NA,2613,36,repairs,0,1,Berry
226,27,male,2,own,rich,moderate,10961,48,radio/TV,0,1,Berry
227,53,male,3,free,little,little,7865,12,furniture/equipment,0,0,Berry
228,22,male,2,own,little,NA,1478,9,radio/TV,0,1,Berry
229,22,male,2,free,little,little,3149,24,furniture/equipment,0,0,Berry
230,26,male,2,own,little,rich,4210,36,radio/TV,0,1,Berry
231,51,male,1,free,quite rich,NA,2507,9,car,0,0,Berry
232,35,male,2,own,moderate,NA,2141,12,radio/TV,0,1,Berry
233,25,male,1,own,little,moderate,866,18,radio/TV,0,1,Berry
234,42,male,1,own,little,NA,1544,4,radio/TV,0,1,Berry
235,30,male,3,own,little,little,1823,24,radio/TV,0,1,Berry
236,23,male,0,own,NA,moderate,14555,6,car,0,1,Berry
237,61,male,1,rent,moderate,moderate,2767,21,business,0,0,Berry
238,35,female,2,own,little,NA,1291,12,radio/TV,0,1,Berry
239,39,male,2,own,little,little,2522,30,radio/TV,0,1,Berry
240,29,female,2,own,NA,little,915,24,car,0,1,Berry
241,51,male,2,own,little,NA,1595,6,radio/TV,0,1,Berry
242,24,male,2,free,little,little,4605,48,car,0,0,Berry
243,27,female,2,own,little,NA,1185,12,business,0,1,Berry
244,35,female,1,own,quite rich,NA,3447,12,education,1,1,Berry
245,25,male,2,own,little,NA,1258,24,business,0,1,Berry
246,52,male,2,own,little,NA,717,12,radio/TV,0,1,Berry
247,35,male,2,rent,moderate,NA,1204,6,car,0,0,Berry
248,26,male,2,own,little,rich,1925,24,furniture/equipment,0,1,Berry
249,22,female,2,rent,little,NA,433,18,radio/TV,0,0,Berry
250,39,female,1,own,rich,little,666,6,car,0,1,Berry
251,46,female,1,own,little,rich,2251,12,furniture/equipment,0,1,Berry
252,24,female,2,own,little,moderate,2150,30,car,0,1,Berry
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,0,1,Berry
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,0,1,Berry
255,27,male,1,own,NA,moderate,7418,60,radio/TV,0,1,Berry
256,35,male,1,own,little,NA,2684,24,radio/TV,0,1,Berry
257,29,male,2,free,little,little,2149,12,radio/TV,0,0,Berry
258,23,female,2,own,moderate,NA,3812,15,car,0,1,Berry
259,57,female,1,own,moderate,NA,1154,11,radio/TV,0,1,Berry
260,27,male,2,own,little,little,1657,12,furniture/equipment,0,1,Berry
261,55,female,2,own,little,little,1603,24,radio/TV,0,1,Berry
262,36,male,3,free,little,little,5302,18,car,0,0,Berry
263,57,female,1,free,little,NA,2748,12,education,1,0,Berry
264,32,male,1,own,little,NA,1231,10,car,0,1,Berry
265,37,male,2,own,little,moderate,802,15,radio/TV,0,1,Berry
266,36,male,2,own,NA,NA,6304,36,business,0,1,Berry
267,38,female,2,own,little,NA,1533,24,radio/TV,0,1,Berry
268,45,male,3,own,little,little,8978,14,car,0,1,Berry
269,25,male,2,own,NA,NA,999,24,radio/TV,0,1,Berry
270,32,male,2,own,NA,NA,2662,18,car,0,1,Berry
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,0,0,Berry
272,36,male,3,free,NA,moderate,12169,48,car,0,0,Berry
273,28,male,2,own,little,moderate,3060,48,radio/TV,0,1,Berry
274,34,male,1,own,little,little,11998,30,repairs,0,1,Berry
275,32,male,2,own,little,NA,2697,9,radio/TV,0,1,Berry
276,26,female,2,own,little,NA,2404,18,radio/TV,0,1,Berry
277,49,male,1,own,NA,little,1262,12,furniture/equipment,0,1,Berry
278,32,female,2,own,little,NA,4611,6,furniture/equipment,0,1,Berry
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,0,0,Berry
280,23,male,2,rent,rich,NA,3368,15,car,0,0,Berry
281,50,male,2,own,little,NA,1574,12,furniture/equipment,0,1,Berry
282,49,male,1,own,NA,rich,1445,18,radio/TV,0,1,Berry
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,0,1,Berry
284,37,male,2,own,moderate,moderate,3878,24,car,0,1,Berry
285,35,female,1,own,little,little,10722,47,car,0,1,Berry
286,26,male,2,own,little,little,4788,48,car,0,1,Berry
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,0,0,Berry
288,49,female,2,own,little,moderate,1092,12,radio/TV,0,1,Berry
289,48,male,2,own,little,little,1024,24,radio/TV,0,1,Berry
290,26,male,2,own,little,NA,1076,12,business,0,1,Berry
291,28,male,3,rent,little,moderate,9398,36,car,0,0,Berry
292,44,female,3,free,little,little,6419,24,car,0,0,Berry
293,56,male,2,free,little,rich,4796,42,car,0,0,Berry
294,46,male,3,own,NA,NA,7629,48,business,0,1,Berry
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,0,1,Berry
296,20,female,2,rent,NA,NA,4675,12,car,0,0,Berry
297,45,male,1,own,NA,NA,1287,10,car,0,1,Berry
298,43,male,2,own,little,NA,2515,18,furniture/equipment,0,1,Berry
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,0,1,Berry
300,54,female,0,own,little,NA,672,6,car,0,1,Berry
301,42,female,2,own,little,moderate,3804,36,radio/TV,0,1,Berry
302,37,male,1,own,NA,rich,1344,24,car,0,1,Berry
303,49,male,2,own,little,little,1038,10,car,0,1,Berry
304,44,male,2,free,quite rich,NA,10127,48,car,0,0,Berry
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,0,1,Berry
306,24,female,1,rent,NA,NA,4811,30,car,0,0,Berry
307,33,male,1,own,moderate,little,727,12,radio/TV,0,1,Berry
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,0,1,Berry
309,22,male,1,rent,little,moderate,276,9,car,0,0,Berry
310,40,male,0,free,NA,moderate,5381,48,vacation/others,0,0,Berry
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,0,1,Berry
312,26,female,2,own,little,rich,3749,24,furniture/equipment,0,1,Berry
313,25,male,1,own,little,moderate,685,12,car,0,1,Berry
314,29,male,1,own,NA,rich,1494,4,car,0,1,Berry
315,31,male,2,own,little,little,2746,36,furniture/equipment,0,1,Berry
316,38,male,1,own,little,little,708,12,furniture/equipment,0,1,Berry
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,0,1,Berry
318,32,male,2,own,little,NA,701,12,education,1,1,Berry
319,27,female,1,own,little,little,3643,15,furniture/equipment,0,1,Berry
320,28,male,3,own,little,moderate,4249,30,car,0,1,Berry
321,32,male,2,own,little,little,1938,24,radio/TV,0,1,Berry
322,34,male,3,free,little,little,2910,24,car,0,0,Berry
323,28,male,2,own,rich,little,2659,18,furniture/equipment,0,1,Berry
324,36,female,2,own,little,NA,1028,18,car,0,1,Berry
325,39,male,1,own,little,little,3398,8,car,0,1,Berry
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,0,0,Berry
327,34,female,2,own,rich,NA,1525,24,car,0,1,Berry
328,31,male,2,own,little,rich,4473,36,radio/TV,0,1,Berry
329,28,male,2,own,little,moderate,1068,6,radio/TV,0,1,Berry
330,75,male,3,free,little,little,6615,24,car,0,0,Berry
331,30,female,2,own,moderate,NA,1864,18,education,1,1,Berry
332,24,female,3,own,moderate,moderate,7408,60,car,0,1,Berry
333,24,female,1,rent,moderate,NA,11590,48,car,0,0,Berry
334,23,male,2,rent,little,little,4110,24,furniture/equipment,0,0,Berry
335,44,male,3,rent,little,little,3384,6,furniture/equipment,0,0,Berry
336,23,female,1,own,little,moderate,2101,13,radio/TV,0,1,Berry
337,24,female,2,rent,NA,little,1275,15,domestic appliances,0,0,Berry
338,28,male,2,own,little,little,4169,24,furniture/equipment,0,1,Berry
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,0,1,Berry
340,24,female,2,free,little,moderate,5743,24,education,1,0,Berry
341,26,female,1,rent,little,little,3599,21,furniture/equipment,0,0,Berry
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,0,0,Berry
343,33,male,3,own,little,moderate,4439,18,business,0,1,Berry
344,37,male,1,own,little,rich,3949,10,car,0,1,Berry
345,43,female,1,own,little,NA,1459,15,radio/TV,0,1,Berry
346,23,male,2,own,little,moderate,882,13,radio/TV,0,1,Berry
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,0,0,Berry
348,34,male,1,own,moderate,NA,1743,6,business,0,1,Berry
349,32,male,2,free,rich,moderate,1136,9,education,1,0,Berry
350,23,female,2,rent,little,NA,1236,9,domestic appliances,0,0,Berry
351,29,female,2,own,little,moderate,959,9,furniture/equipment,0,1,Berry
352,38,male,3,own,NA,NA,3229,18,car,0,1,Berry
353,28,male,2,rent,little,little,6199,12,radio/TV,0,0,Berry
354,46,male,2,free,quite rich,NA,727,10,education,1,0,Berry
355,23,male,1,own,little,moderate,1246,24,car,0,1,Berry
356,49,male,2,own,NA,NA,2331,12,radio/TV,0,1,Berry
357,26,male,3,own,little,NA,4463,36,radio/TV,0,1,Berry
358,28,male,2,own,little,NA,776,12,radio/TV,0,1,Berry
359,23,female,2,rent,little,little,2406,30,furniture/equipment,0,0,Berry
360,61,male,2,free,NA,moderate,1239,18,education,1,0,Berry
361,37,male,3,own,NA,rich,3399,12,radio/TV,0,1,Berry
362,36,female,2,own,little,rich,2247,12,car,0,1,Berry
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,0,0,Berry
364,25,male,0,own,little,little,2473,18,furniture/equipment,0,1,Berry
365,36,male,2,own,little,NA,1542,12,business,0,1,Berry
366,27,male,2,own,little,NA,3850,18,car,0,1,Berry
367,22,female,2,rent,little,little,3650,18,furniture/equipment,0,0,Berry
368,42,male,2,own,little,little,3446,36,furniture/equipment,0,1,Berry
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,0,0,Berry
370,36,male,2,own,NA,NA,3079,36,car,0,1,Berry
371,33,male,2,own,little,NA,6070,18,radio/TV,0,1,Berry
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,0,0,Berry
373,63,male,3,free,NA,NA,13756,60,car,0,0,Berry
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,0,0,Berry
375,37,female,2,rent,little,little,7685,48,business,0,0,Berry
376,34,male,2,own,little,NA,2320,18,radio/TV,0,1,Berry
377,36,male,2,free,NA,NA,846,7,radio/TV,0,0,Berry
378,57,male,3,free,little,moderate,14318,36,car,0,0,Berry
379,52,female,1,own,moderate,NA,362,6,car,0,1,Berry
380,39,male,2,own,NA,little,2212,20,furniture/equipment,0,1,Berry
381,38,female,3,free,little,moderate,12976,18,car,0,0,Berry
382,25,female,2,rent,NA,NA,1283,22,car,0,0,Berry
383,26,male,2,own,little,rich,1330,12,car,0,1,Berry
384,26,male,1,own,moderate,NA,4272,30,business,0,1,Berry
385,25,female,2,own,little,NA,2238,18,radio/TV,0,1,Berry
386,21,female,2,rent,NA,NA,1126,18,radio/TV,0,0,Berry
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,0,1,Berry
388,27,male,2,own,quite rich,moderate,2326,15,business,0,1,Berry
389,27,female,2,own,little,NA,1449,9,business,0,1,Berry
390,30,male,3,own,little,NA,1820,18,car,0,1,Berry
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,0,0,Berry
392,39,male,3,free,little,little,3249,36,car,0,0,Berry
393,31,female,2,own,little,little,1957,6,radio/TV,0,1,Berry
394,31,male,3,own,little,NA,2406,9,furniture/equipment,0,1,Berry
395,32,male,2,rent,moderate,moderate,11760,39,education,1,0,Berry
396,55,female,3,free,little,little,2578,12,furniture/equipment,0,0,Berry
397,46,male,2,own,little,little,2348,36,furniture/equipment,0,1,Berry
398,46,male,2,rent,little,moderate,1223,12,car,0,0,Berry
399,43,female,1,own,rich,NA,1516,24,radio/TV,0,1,Berry
400,39,male,2,own,little,NA,1473,18,radio/TV,0,1,Berry
401,28,male,2,own,NA,moderate,1887,18,business,0,1,Berry
402,27,male,2,own,little,NA,8648,24,business,0,1,Berry
403,27,male,1,own,little,NA,802,14,car,0,1,Berry
404,43,male,2,own,NA,moderate,2899,18,car,0,1,Berry
405,22,male,2,own,little,moderate,2039,24,radio/TV,0,1,Berry
406,43,male,2,own,NA,NA,2197,24,car,0,1,Berry
407,27,male,2,own,little,little,1053,15,radio/TV,0,1,Berry
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,0,1,Berry
409,28,male,2,own,quite rich,rich,939,12,car,0,1,Berry
410,20,female,2,own,little,moderate,1967,24,radio/TV,0,1,Berry
411,35,male,3,own,little,NA,7253,33,car,0,1,Berry
412,42,male,3,own,little,NA,2292,12,business,0,1,Berry
413,40,male,1,rent,quite rich,NA,1597,10,car,0,0,Berry
414,35,female,2,own,NA,little,1381,24,car,0,1,Berry
415,35,male,2,own,little,NA,5842,36,car,0,1,Berry
416,33,male,1,own,little,little,2579,12,car,0,1,Berry
417,23,female,2,rent,NA,little,8471,18,education,1,0,Berry
